input,head,repeat,seed,outer_fold,test_accuracy,test_f1,test_auc,test_precision,test_recall,test_specificity,best_params,dim
img_azimuth_vit,svm_poly,0,42,0,0.5,0.6666666666666666,0.25,0.5,1.0,0.0,"{""C"": 0.01, ""degree"": 2}",768
img_azimuth_vit,svm_poly,0,42,1,0.5,0.6,0.625,0.5,0.75,0.25,"{""C"": 1.0, ""degree"": 2}",768
img_azimuth_vit,svm_poly,0,42,2,0.5714285714285714,0.0,0.16666666666666666,0.0,0.0,1.0,"{""C"": 0.01, ""degree"": 2}",768
img_azimuth_vit,svm_poly,0,42,3,0.5714285714285714,0.6666666666666666,0.6666666666666667,0.6,0.75,0.3333333333333333,"{""C"": 1.0, ""degree"": 2}",768
img_azimuth_vit,svm_poly,0,42,4,0.5714285714285714,0.4,0.5833333333333334,1.0,0.25,1.0,"{""C"": 1.0, ""degree"": 3}",768
img_azimuth_vit,svm_poly,0,42,5,0.5714285714285714,0.0,0.9166666666666666,0.0,0.0,1.0,"{""C"": 0.01, ""degree"": 2}",768
img_azimuth_vit,svm_poly,0,42,6,0.5714285714285714,0.0,0.16666666666666666,0.0,0.0,1.0,"{""C"": 0.01, ""degree"": 2}",768
img_azimuth_vit,svm_poly,0,42,7,0.42857142857142855,0.0,0.41666666666666663,0.0,0.0,1.0,"{""C"": 1.0, ""degree"": 2}",768
img_azimuth_vit,svm_poly,0,42,8,0.42857142857142855,0.3333333333333333,0.33333333333333337,0.5,0.25,0.6666666666666666,"{""C"": 1.0, ""degree"": 2}",768
img_azimuth_vit,svm_poly,0,42,9,0.5714285714285714,0.0,0.5833333333333334,0.0,0.0,1.0,"{""C"": 0.01, ""degree"": 2}",768
img_azimuth_vit,svm_poly,1,43,0,0.5,0.6666666666666666,0.75,0.5,1.0,0.0,"{""C"": 0.01, ""degree"": 2}",768
img_azimuth_vit,svm_poly,1,43,1,0.5714285714285714,0.0,0.25,0.0,0.0,1.0,"{""C"": 0.01, ""degree"": 2}",768
img_azimuth_vit,svm_poly,1,43,2,0.5,0.6666666666666666,0.5625,0.5,1.0,0.0,"{""C"": 0.01, ""degree"": 2}",768
img_azimuth_vit,svm_poly,1,43,3,0.5714285714285714,0.0,0.6666666666666666,0.0,0.0,1.0,"{""C"": 0.01, ""degree"": 2}",768
img_azimuth_vit,svm_poly,1,43,4,0.7142857142857143,0.6666666666666666,0.75,1.0,0.5,1.0,"{""C"": 1.0, ""degree"": 2}",768
img_azimuth_vit,svm_poly,1,43,5,0.42857142857142855,0.0,0.8333333333333334,0.0,0.0,1.0,"{""C"": 1.0, ""degree"": 3}",768
img_azimuth_vit,svm_poly,1,43,6,0.8571428571428571,0.8571428571428571,0.9166666666666667,1.0,0.75,1.0,"{""C"": 1.0, ""degree"": 2}",768
img_azimuth_vit,svm_poly,1,43,7,0.5714285714285714,0.0,0.5,0.0,0.0,1.0,"{""C"": 0.01, ""degree"": 2}",768
img_azimuth_vit,svm_poly,1,43,8,0.5714285714285714,0.0,0.6666666666666666,0.0,0.0,1.0,"{""C"": 0.01, ""degree"": 2}",768
img_azimuth_vit,svm_poly,1,43,9,0.42857142857142855,0.6,0.33333333333333337,0.5,0.75,0.0,"{""C"": 1.0, ""degree"": 2}",768
img_azimuth_vit,svm_poly,2,44,0,0.2857142857142857,0.0,0.41666666666666663,0.0,0.0,0.6666666666666666,"{""C"": 1.0, ""degree"": 3}",768
img_azimuth_vit,svm_poly,2,44,1,0.5,0.6666666666666666,0.5625,0.5,1.0,0.0,"{""C"": 0.01, ""degree"": 2}",768
img_azimuth_vit,svm_poly,2,44,2,0.8571428571428571,0.8888888888888888,0.8333333333333334,0.8,1.0,0.6666666666666666,"{""C"": 1.0, ""degree"": 2}",768
img_azimuth_vit,svm_poly,2,44,3,0.5,0.6666666666666666,0.375,0.5,1.0,0.0,"{""C"": 0.01, ""degree"": 2}",768
img_azimuth_vit,svm_poly,2,44,4,0.5714285714285714,0.0,0.25,0.0,0.0,1.0,"{""C"": 0.01, ""degree"": 2}",768
img_azimuth_vit,svm_poly,2,44,5,0.5714285714285714,0.4,0.75,1.0,0.25,1.0,"{""C"": 1.0, ""degree"": 3}",768
img_azimuth_vit,svm_poly,2,44,6,0.5714285714285714,0.5714285714285714,0.41666666666666663,0.6666666666666666,0.5,0.6666666666666666,"{""C"": 1.0, ""degree"": 2}",768
img_azimuth_vit,svm_poly,2,44,7,0.5714285714285714,0.0,0.41666666666666663,0.0,0.0,1.0,"{""C"": 0.01, ""degree"": 2}",768
img_azimuth_vit,svm_poly,2,44,8,0.5714285714285714,0.0,0.6666666666666666,0.0,0.0,1.0,"{""C"": 0.01, ""degree"": 2}",768
img_azimuth_vit,svm_poly,2,44,9,0.5714285714285714,0.0,0.41666666666666663,0.0,0.0,1.0,"{""C"": 0.01, ""degree"": 2}",768
