input,head,repeat,seed,outer_fold,test_accuracy,test_f1,test_auc,test_precision,test_recall,test_specificity,best_params,dim
handcrafted,mlp_fixed,0,42,0,0.375,0.2857142857142857,0.4375,0.3333333333333333,0.25,0.5,"{""dropout"": 0.3, ""weight_decay"": 0.001}",33
handcrafted,mlp_fixed,0,42,1,0.5,0.3333333333333333,0.5625,0.5,0.25,0.75,"{""dropout"": 0.3, ""weight_decay"": 0.001}",33
handcrafted,mlp_fixed,0,42,2,0.7142857142857143,0.75,0.8333333333333334,0.6,1.0,0.5,"{""dropout"": 0.3, ""weight_decay"": 0.001}",33
handcrafted,mlp_fixed,0,42,3,0.42857142857142855,0.5,0.25,0.5,0.5,0.3333333333333333,"{""dropout"": 0.3, ""weight_decay"": 0.001}",33
handcrafted,mlp_fixed,0,42,4,0.2857142857142857,0.2857142857142857,0.33333333333333337,0.3333333333333333,0.25,0.3333333333333333,"{""dropout"": 0.5, ""weight_decay"": 0.01}",33
handcrafted,mlp_fixed,0,42,5,0.8571428571428571,0.8571428571428571,0.9166666666666666,0.75,1.0,0.75,"{""dropout"": 0.5, ""weight_decay"": 0.001}",33
handcrafted,mlp_fixed,0,42,6,0.7142857142857143,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.75,"{""dropout"": 0.3, ""weight_decay"": 0.001}",33
handcrafted,mlp_fixed,0,42,7,0.2857142857142857,0.2857142857142857,0.41666666666666663,0.3333333333333333,0.25,0.3333333333333333,"{""dropout"": 0.3, ""weight_decay"": 0.001}",33
handcrafted,mlp_fixed,0,42,8,0.5714285714285714,0.5714285714285714,0.5833333333333334,0.6666666666666666,0.5,0.6666666666666666,"{""dropout"": 0.3, ""weight_decay"": 0.001}",33
handcrafted,mlp_fixed,0,42,9,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.25,0.3333333333333333,0.25,"{""dropout"": 0.5, ""weight_decay"": 0.001}",33
handcrafted,mlp_fixed,1,43,0,0.625,0.5714285714285714,0.875,0.6666666666666666,0.5,0.75,"{""dropout"": 0.3, ""weight_decay"": 0.001}",33
handcrafted,mlp_fixed,1,43,1,0.5714285714285714,0.5714285714285714,0.5833333333333333,0.5,0.6666666666666666,0.5,"{""dropout"": 0.5, ""weight_decay"": 0.001}",33
handcrafted,mlp_fixed,1,43,2,0.5,0.5,0.625,0.5,0.5,0.5,"{""dropout"": 0.3, ""weight_decay"": 0.001}",33
handcrafted,mlp_fixed,1,43,3,0.42857142857142855,0.5,0.41666666666666663,0.4,0.6666666666666666,0.25,"{""dropout"": 0.3, ""weight_decay"": 0.001}",33
handcrafted,mlp_fixed,1,43,4,0.5714285714285714,0.6666666666666666,0.8333333333333334,0.6,0.75,0.3333333333333333,"{""dropout"": 0.5, ""weight_decay"": 0.001}",33
handcrafted,mlp_fixed,1,43,5,0.2857142857142857,0.2857142857142857,0.25,0.3333333333333333,0.25,0.3333333333333333,"{""dropout"": 0.3, ""weight_decay"": 0.001}",33
handcrafted,mlp_fixed,1,43,6,0.8571428571428571,0.8571428571428571,0.75,1.0,0.75,1.0,"{""dropout"": 0.3, ""weight_decay"": 0.001}",33
handcrafted,mlp_fixed,1,43,7,0.42857142857142855,0.0,0.08333333333333333,0.0,0.0,0.75,"{""dropout"": 0.3, ""weight_decay"": 0.01}",33
handcrafted,mlp_fixed,1,43,8,0.14285714285714285,0.0,0.16666666666666666,0.0,0.0,0.25,"{""dropout"": 0.3, ""weight_decay"": 0.001}",33
handcrafted,mlp_fixed,1,43,9,0.5714285714285714,0.6666666666666666,0.6666666666666667,0.6,0.75,0.3333333333333333,"{""dropout"": 0.3, ""weight_decay"": 0.001}",33
handcrafted,mlp_fixed,2,44,0,0.5714285714285714,0.4,0.8333333333333334,1.0,0.25,1.0,"{""dropout"": 0.3, ""weight_decay"": 0.001}",33
handcrafted,mlp_fixed,2,44,1,0.5,0.5,0.5,0.5,0.5,0.5,"{""dropout"": 0.3, ""weight_decay"": 0.001}",33
handcrafted,mlp_fixed,2,44,2,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,"{""dropout"": 0.3, ""weight_decay"": 0.001}",33
handcrafted,mlp_fixed,2,44,3,0.5,0.5,0.5,0.5,0.5,0.5,"{""dropout"": 0.3, ""weight_decay"": 0.001}",33
handcrafted,mlp_fixed,2,44,4,0.5714285714285714,0.5714285714285714,0.75,0.5,0.6666666666666666,0.5,"{""dropout"": 0.5, ""weight_decay"": 0.001}",33
handcrafted,mlp_fixed,2,44,5,0.5714285714285714,0.5714285714285714,0.5,0.6666666666666666,0.5,0.6666666666666666,"{""dropout"": 0.3, ""weight_decay"": 0.001}",33
handcrafted,mlp_fixed,2,44,6,0.5714285714285714,0.6666666666666666,0.5833333333333333,0.6,0.75,0.3333333333333333,"{""dropout"": 0.5, ""weight_decay"": 0.01}",33
handcrafted,mlp_fixed,2,44,7,0.42857142857142855,0.5,0.5833333333333334,0.4,0.6666666666666666,0.25,"{""dropout"": 0.3, ""weight_decay"": 0.001}",33
handcrafted,mlp_fixed,2,44,8,0.7142857142857143,0.5,0.5833333333333334,1.0,0.3333333333333333,1.0,"{""dropout"": 0.5, ""weight_decay"": 0.001}",33
handcrafted,mlp_fixed,2,44,9,0.2857142857142857,0.2857142857142857,0.41666666666666663,0.25,0.3333333333333333,0.25,"{""dropout"": 0.3, ""weight_decay"": 0.001}",33
